date,open,high,low,close,volume
2014-01-01,732.0,757.99,729.01,754.9,7907.63786208
2014-01-02,751.88,798.7,742.5,784.19,15134.16900738
2014-01-03,784.19,818.99,767.62,809.4,14860.26282816
2014-01-04,808.24,830.0,790.2,828.79,10990.14294762
2014-01-05,828.79,948.0,826.07,905.0,24075.9495964
2014-01-06,905.0,995.0,876.0,919.24,25886.90639128
2014-01-07,915.8,943.0,785.0,785.0,34063.52120798
2014-01-08,785.0,849.79,765.0,823.45,26315.75852948
2014-01-09,823.94,848.0,779.78,824.76,25302.2442016
2014-01-10,825.5,861.4,799.41,852.61,12846.16052006
2014-01-11,851.63,909.96,849.51,896.59,16130.91651296
2014-01-12,895.0,905.0,826.46,844.05,12189.17547898
2014-01-13,844.04,844.05,783.11,823.0,19366.39159317
2014-01-14,823.99,837.0,800.0,815.99,9729.54391417
2014-01-15,815.99,850.26,805.18,841.14,12267.77449637
2014-01-16,841.14,849.0,810.01,814.4,8215.45166349
2014-01-17,814.4,821.0,765.0,797.2,17114.93953749
2014-01-18,796.97,817.12,796.0,810.0,5486.84152085
2014-01-19,810.0,842.07,791.01,842.07,8418.00804502
2014-01-20,841.5,845.0,815.0,826.02,6968.15670477
2014-01-21,826.02,834.5,814.0,824.89,7669.59937021
2014-01-22,824.88,824.99,801.0,819.2,8309.09407494
2014-01-23,819.2,823.28,801.1,812.0,7395.00949206
2014-01-24,810.95,811.74,767.02,780.0,15775.20253781
2014-01-25,780.0,817.0,773.4,806.8,8705.5640134
2014-01-26,806.81,834.0,795.01,814.75,9704.13726187
2014-01-27,814.67,823.0,725.0,751.95,25194.23662664
2014-01-28,750.95,812.93,740.01,788.0,20042.81613687
2014-01-29,785.51,804.95,781.99,794.21,7044.52156243
2014-01-30,794.21,812.44,770.7,799.99,13125.54815594
2014-01-31,799.99,809.98,791.0,803.0,7728.16005641
2014-02-01,803.0,827.38,802.59,813.23,8296.06416747
2014-02-02,813.23,825.21,810.23,814.99,4075.68246141
2014-02-03,814.94,815.0,800.5,808.5,4931.83355028
2014-02-04,806.99,812.98,796.83,802.99,7592.00316474
2014-02-05,802.0,810.0,775.0,782.33,8479.50233561
2014-02-06,780.01,803.0,752.0,763.99,20652.60674868
2014-02-07,764.0,766.45,619.0,705.01,66362.25784175
2014-02-08,705.01,723.0,662.01,680.49,13501.11536102
2014-02-09,680.49,755.42,666.21,687.37,15061.93270719
2014-02-10,688.0,713.0,530.0,687.81,71860.53695222
2014-02-11,688.34,720.0,631.0,675.1,40062.43735234
2014-02-12,677.0,685.19,631.58,651.99,15511.78725823
2014-02-13,650.04,660.0,601.54,604.11,28145.8136164
2014-02-14,609.4,712.9,538.01,669.0,68378.14539627
2014-02-15,670.34,673.17,628.88,655.83,20762.64009438
2014-02-16,655.83,670.0,590.01,621.0,26397.57091925
2014-02-17,621.0,664.99,610.0,633.66,19902.4393218
2014-02-18,633.66,650.0,609.99,627.7,14833.93993495
2014-02-19,627.7,636.0,617.0,623.01,11128.47837448
2014-02-20,623.01,631.0,560.9,561.86,34966.69850131
2014-02-21,561.86,589.0,530.01,581.35,29612.93711462
2014-02-22,581.35,619.88,562.15,610.88,18076.09102116
2014-02-23,610.77,646.0,599.78,610.09,20868.15490482
2014-02-24,609.9,629.0,514.02,535.49,51840.81217712
2014-02-25,535.49,545.8,400.0,535.0,115761.98662156
2014-02-26,534.34,610.0,530.0,585.24,49110.90216434
2014-02-27,585.24,599.99,571.22,583.0,17048.07050459
2014-02-28,584.7,591.39,541.0,551.89,22634.32498739
2014-03-01,551.8,576.0,535.0,567.48,14303.9416427
2014-03-02,567.46,570.99,553.0,566.24,6437.39852141
2014-03-03,565.38,710.0,562.02,677.69,64914.82037014
2014-03-04,677.69,702.24,633.64,673.0,28031.31700336
2014-03-05,673.27,679.97,651.9,669.99,12719.614182
2014-03-06,669.0,675.71,650.0,669.57,10404.69739337
2014-03-07,669.57,670.0,613.45,632.79,21449.42620587
2014-03-08,632.79,639.79,604.5,620.0,9699.02131269
2014-03-09,620.02,653.0,613.03,640.0,9121.47474745
2014-03-10,638.4,646.59,609.0,629.39,13350.32162609
2014-03-11,628.02,644.44,614.17,632.1,9166.62008516
2014-03-12,631.72,656.95,628.8,634.95,12741.36127291
2014-03-13,634.95,650.0,632.0,641.01,6728.15269572
2014-03-14,641.02,645.0,625.29,630.42,8676.83483514
2014-03-15,630.99,639.88,625.32,637.24,2202.21801447
2014-03-16,637.58,639.39,629.02,634.99,3296.50753371
2014-03-17,634.99,634.99,619.46,621.11,9165.08796086
2014-03-18,622.97,624.17,591.13,612.0,14907.79764662
2014-03-19,613.84,623.95,605.11,611.2,7079.91716071
2014-03-20,610.01,611.3,578.66,587.98,10906.66527996
2014-03-21,585.6,607.88,556.0,570.0,22418.17284294
2014-03-22,569.99,571.99,541.0,565.31,13614.29823426
2014-03-23,564.31,569.48,556.74,561.0,6098.75124042
2014-03-24,558.22,592.6,547.0,585.99,13674.05994214
2014-03-25,585.9,587.48,568.86,583.77,8107.38220171
2014-03-26,583.77,592.0,565.0,581.49,10310.36256376
2014-03-27,581.48,581.59,466.1,475.0,49205.95632382
2014-03-28,475.0,532.0,468.3,502.01,34960.0555779
2014-03-29,502.01,508.0,486.97,491.99,7446.55826452
2014-03-30,491.99,492.0,436.0,460.0,31437.04543486
2014-03-31,460.0,486.7,438.0,454.83,20986.65095993
2014-04-01,454.81,509.98,452.04,478.98,22904.80786015
2014-04-02,478.98,494.98,430.0,439.0,34478.66605231
2014-04-03,438.9,465.0,416.11,451.03,26944.97730513
2014-04-04,451.03,459.5,430.77,452.2,15699.31017002
2014-04-05,450.0,464.8,441.25,464.8,6467.31793588
2014-04-06,464.8,465.0,450.2,456.27,5283.84837762
2014-04-07,459.97,464.19,446.0,447.11,7419.24793683
2014-04-08,447.11,459.8,446.24,453.57,5844.4224734
2014-04-09,453.57,457.3,438.08,441.69,8006.6040704
2014-04-10,441.69,442.46,357.57,363.12,49713.84445346
2014-04-11,363.1,432.22,339.79,423.0,42124.74577436
2014-04-12,423.0,439.5,413.72,423.42,10809.0520644
2014-04-13,424.91,427.75,397.16,416.3,11017.88490469
2014-04-14,416.29,475.0,408.0,458.5,33640.67485637
2014-04-15,459.99,528.75,453.16,521.0,32622.07731475
2014-04-16,523.1,548.0,494.02,530.0,30710.47011727
2014-04-17,529.26,533.8,481.63,500.09,20052.70199809
2014-04-18,500.09,506.97,470.0,483.11,11142.839766
2014-04-19,482.1,507.43,472.81,503.8,10268.73294781
2014-04-20,505.18,516.53,493.0,500.0,5798.58019722
2014-04-21,501.07,515.0,490.0,496.74,8377.05680943
2014-04-22,497.98,504.9,485.2,490.0,8521.46548043
2014-04-23,490.0,495.2,484.61,492.0,5696.00906268
2014-04-24,491.94,505.0,480.0,502.2,7952.77348869
2014-04-25,502.15,503.99,438.05,466.52,33416.96300818
2014-04-26,466.71,470.96,451.07,459.0,8812.12009945
2014-04-27,459.22,461.97,429.95,430.0,9312.34600754
2014-04-28,430.0,452.16,424.0,442.9,18282.9859723
2014-04-29,440.41,454.47,432.02,448.0,13844.63506405
2014-04-30,448.0,453.99,433.08,448.85,10757.36482184
2014-05-01,449.0,465.88,447.97,460.97,9556.03788617
2014-05-02,460.97,462.99,444.51,454.5,8269.89141728
2014-05-03,452.0,454.5,431.0,439.0,7431.62647961
2014-05-04,439.0,442.83,429.55,438.04,5154.40779439
2014-05-05,435.88,445.0,425.0,433.0,8188.08279477
2014-05-06,431.64,434.0,420.27,428.01,8041.19841525
2014-05-07,429.0,452.0,425.67,440.0,13248.34902294
2014-05-08,441.47,450.08,437.61,437.69,6326.64918367
2014-05-09,439.6,457.08,437.71,452.37,8282.11115483
2014-05-10,452.78,459.24,449.79,455.39,4130.38790298
2014-05-11,457.7,458.2,429.6,440.0,8863.68574441
2014-05-12,437.67,443.77,431.56,442.5,4582.44144849
2014-05-13,442.48,442.75,430.61,439.12,5969.67167394
2014-05-14,439.12,449.96,438.36,446.0,6398.98824957
2014-05-15,444.07,452.67,444.02,446.0,5496.48180562
2014-05-16,446.27,452.41,444.5,447.31,3667.08110965
2014-05-17,447.55,451.48,445.01,449.06,2295.07351646
2014-05-18,449.07,451.43,444.52,446.91,2498.74305537
2014-05-19,446.91,450.0,441.44,448.34,4723.48939284
2014-05-20,448.34,500.0,447.14,489.0,28210.08506636
2014-05-21,489.0,499.1,487.11,493.98,7111.8995869
2014-05-22,493.98,530.0,492.65,529.99,17439.03492533
2014-05-23,529.99,547.1,518.55,523.77,19619.56224587
2014-05-24,523.75,529.06,515.4,528.44,5528.52161577
2014-05-25,528.44,586.34,527.09,573.9,19782.59517625
2014-05-26,573.5,593.48,565.58,581.88,11633.71988586
2014-05-27,581.87,595.0,550.22,572.7,19805.25778576
2014-05-28,572.7,582.26,563.45,580.66,8980.55145796
2014-05-29,580.66,582.1,560.05,572.37,8110.31804184
2014-05-30,572.37,629.4,568.56,621.0,22502.94353545
2014-05-31,621.0,628.5,611.0,627.8,9696.70747452
2014-06-01,627.8,683.26,618.53,630.99,24149.97945797
2014-06-02,630.99,678.0,613.03,661.22,20087.27572293
2014-06-03,662.0,680.99,649.61,670.14,13572.80908815
2014-06-04,668.9,673.61,621.86,640.59,17375.56805213
2014-06-05,640.55,669.63,639.69,661.48,10724.8128158
2014-06-06,661.46,662.13,647.16,647.16,6452.18388554
2014-06-07,647.16,657.13,635.88,657.13,5749.30472799
2014-06-08,657.13,661.11,651.7,658.0,2600.8503958
2014-06-09,658.0,659.0,639.93,648.83,6798.26691408
2014-06-10,648.83,657.41,642.45,648.55,5909.59291707
2014-06-11,648.55,652.39,615.0,620.5,10429.62396539
2014-06-12,623.81,630.36,550.0,569.1,24822.48984168
2014-06-13,569.98,611.99,563.0,592.0,18670.61329898
2014-06-14,592.0,593.53,538.38,566.58,16567.97164988
2014-06-15,566.58,593.0,552.11,588.55,8807.69919892
2014-06-16,592.0,610.0,582.01,586.91,10767.8271681
2014-06-17,587.0,610.2,580.0,606.48,6588.30888155
2014-06-18,606.48,616.0,599.9,607.0,6744.90183982
2014-06-19,607.99,609.98,590.0,593.4,4638.14295037
2014-06-20,593.41,598.68,580.51,588.02,6709.97949424
2014-06-21,590.0,594.99,580.0,591.29,2949.19025766
2014-06-22,591.33,605.05,587.82,600.34,3856.98903213
2014-06-23,600.34,601.0,580.46,588.22,5295.94498307
2014-06-24,588.22,588.25,572.1,572.62,6502.14511419
2014-06-25,574.0,579.7,554.45,560.4,8893.45697276
2014-06-26,560.4,580.11,557.2,579.99,4674.87892834
2014-06-27,580.09,600.0,574.0,599.99,9183.33155023
2014-06-28,599.99,604.21,589.56,589.56,3084.68947887
2014-06-29,591.46,601.79,589.56,599.89,1593.33179969
2014-06-30,599.86,647.09,595.51,641.11,15516.12603652
2014-07-01,640.0,658.88,638.0,638.25,9497.73976296
2014-07-02,638.25,658.75,638.0,650.5,5305.55272768
2014-07-03,650.49,652.79,638.79,645.99,4969.91178981
2014-07-04,648.48,650.48,616.3,629.0,8739.04642335
2014-07-05,628.81,632.97,623.23,630.0,1830.57985986
2014-07-06,630.9,639.0,622.86,630.57,3334.94354159
2014-07-07,633.87,636.0,612.9,622.09,7109.07789511
2014-07-08,622.09,626.22,616.89,623.98,2675.17329599
2014-07-09,623.98,626.88,618.71,621.97,2303.75559449
2014-07-10,621.96,623.93,607.9,616.87,6335.71200097
2014-07-11,616.87,635.0,613.46,635.0,6094.53367548
2014-07-12,634.99,642.57,628.7,638.1,3794.25754759
2014-07-13,637.9,638.73,626.09,630.88,4158.79112509
2014-07-14,630.88,632.0,616.84,621.17,3827.4245259
2014-07-15,621.15,626.25,616.09,622.9,3535.74807055
2014-07-16,622.9,625.0,610.01,616.86,5348.93295307
2014-07-17,617.39,629.0,610.0,622.2,4902.142579
2014-07-18,626.3,632.96,618.46,632.6,5026.34015101
2014-07-19,632.59,632.6,625.0,628.63,1923.59164607
2014-07-20,630.0,630.0,620.0,627.0,1467.59140174
2014-07-21,626.98,628.0,615.0,622.73,3959.6554446
2014-07-22,622.63,624.99,618.26,618.26,3364.10445806
2014-07-23,619.99,623.0,615.51,621.0,4040.73704089
2014-07-24,620.95,621.99,591.12,601.66,10241.00858618
2014-07-25,603.96,609.65,592.97,602.93,4843.77880284
2014-07-26,602.93,603.0,590.0,596.23,3607.97621754
2014-07-27,596.23,602.83,589.0,590.3,3792.78527365
2014-07-28,592.61,596.0,570.5,586.53,10539.93211413
2014-07-29,589.88,591.95,578.0,585.95,4084.10767328
2014-07-30,585.93,586.0,557.12,563.84,10498.74204272
2014-07-31,563.83,590.0,555.9,582.04,9383.41349936
2014-08-01,583.54,607.2,581.77,598.2,11939.59492142
2014-08-02,597.84,599.09,584.95,589.59,3529.71854524
2014-08-03,589.6,591.0,578.21,588.91,2802.92118247
2014-08-04,588.96,595.7,581.8,588.5,5259.62783511
2014-08-05,588.5,589.0,578.25,581.76,6905.3529219
2014-08-06,581.75,586.36,576.44,581.16,7580.22972012
2014-08-07,581.16,591.9,579.0,585.84,4436.02538924
2014-08-08,585.84,595.0,584.0,588.02,4367.06223673
2014-08-09,588.99,591.35,585.21,587.97,1626.62584577
2014-08-10,589.82,597.0,586.0,590.96,3211.09141939
2014-08-11,590.98,590.99,571.0,573.98,6086.60291397
2014-08-12,574.55,574.59,561.9,566.69,6463.80393643
2014-08-13,569.39,572.0,524.55,548.81,25509.09742988
2014-08-14,549.85,551.86,497.0,507.99,25826.72212001
2014-08-15,507.99,521.79,481.55,500.25,16594.58663564
2014-08-16,502.48,529.8,485.0,521.97,12657.92306735
2014-08-17,523.47,524.8,485.39,496.86,10314.49245533
2014-08-18,498.0,510.0,442.0,475.22,28851.03396159
2014-08-19,474.74,493.98,453.01,491.98,17807.05682966
2014-08-20,491.98,527.01,466.0,516.39,19220.07652475
2014-08-21,516.39,534.14,510.0,519.28,14187.29751604
2014-08-22,519.29,528.0,500.01,514.65,15393.04567173
2014-08-23,514.65,514.69,487.0,497.0,8432.27651658
2014-08-24,496.96,515.95,495.02,507.85,5765.3573197
2014-08-25,507.84,508.46,496.79,503.82,5773.91627729
2014-08-26,503.74,516.0,502.27,512.18,6716.16026767
2014-08-27,514.4,523.09,510.0,511.87,7791.96468822
2014-08-28,511.87,514.98,505.93,506.0,7119.02351699
