model,val_rmse,val_mae,val_mape,val_r2,val_dir,test_rmse,test_mae,test_mape,test_r2,test_dir
ridge,0.05538352272628994,0.04197383509386817,9.031477799590553,-0.947557037001203,0.49171270718232046,0.07544952235473901,0.06265670772393296,59.00793361363948,-8.38985429454399,0.49240121580547114
ols,0.05546384177737806,0.04204899763936755,9.063699818732397,-0.9532099587557636,0.49171270718232046,0.0756503196758505,0.06282712420073495,59.185003775004105,-8.439900112118744,0.49240121580547114
svr,0.046579478993818764,0.033876830419173526,6.663069233873938,-0.37758462295482853,0.5128913443830571,0.033324409840009714,0.025245619183044576,10.678203253726252,-0.8317693913152409,0.49442755825734547
xgb,0.05541168602216482,0.04323724956411421,13.689657997163673,-0.9495382605950184,0.4972375690607735,0.05776288715051786,0.05015054556326443,36.16591194774115,-4.503559276530308,0.48936170212765956
lgbm,0.05048106083818881,0.03839676933424069,11.637998918125872,-0.618027799827144,0.5027624309392266,0.0466826328350624,0.03813291573150136,25.45625757993843,-2.5946494718941566,0.5015197568389058
arima,0.055482165546328184,0.04206730760995691,9.077414755534331,-0.9545007485353765,0.49171270718232046,0.02857231707223425,0.021502746272742776,11.535736009643289,-0.34659434268870504,0.49949341438703143
varx,0.05543708689097945,0.04202665575939361,9.056332255778583,-0.951326017626295,0.48987108655616945,0.02870531496840121,0.021647582801171756,11.744809521007884,-0.3591597245121423,0.49949341438703143
lstm,0.040655363013656166,0.027536765684263182,3.16808100105595,-0.03901863813508211,0.49290444654683063,0.028574860473754952,0.021278147994291008,8.350343165436659,-0.34734533832334,0.4968684759916493
gru,0.04385726653711459,0.03075490775474789,5.282832306104159,-0.2091238061818903,0.5014191106906338,0.046467273902538284,0.03945336930440051,31.768603583005106,-2.5629118370342554,0.4968684759916493
cnn,0.042968893952818124,0.030738113060120698,7.397927376263437,-0.16063590390249605,0.47871333964049195,0.06371804894868996,0.05602167075247031,49.556664112583036,-5.699395628407933,0.4968684759916493
tft,0.16017479331110765,0.13131565563572375,42.85231063591334,-15.12783219493381,0.48628192999053926,0.17998540899181073,0.1571387367684868,134.51727371904656,-52.45462480966295,0.48538622129436326
