date,split,price_true,price_pred
2020-01-31,val,9334.980000000003,9466.19196196556
2020-02-01,val,9380.179999999998,9290.035573911666
2020-02-02,val,9323.5,9324.33798079729
2020-02-03,val,9280.489999999998,9254.420739918947
2020-02-04,val,9164.329999999998,9207.944131691456
2020-02-05,val,9613.819999999998,9112.473025127054
2020-02-06,val,9763.009999999998,9576.386351573467
2020-02-07,val,9808.050000000012,9727.496540896893
2020-02-08,val,9905.639999999996,9777.161792457104
2020-02-09,val,10168.350000000004,9863.720617525578
2020-02-10,val,9851.779999999993,10127.558937880398
2020-02-11,val,10270.009999999993,9817.472147821189
2020-02-12,val,10351.130000000001,10226.379088127613
2020-02-13,val,10236.489999999996,10322.990984740256
2020-02-14,val,10371.330000000013,10225.36161367476
2020-02-15,val,9911.219999999996,10353.932576006055
2020-02-16,val,9920.999999999998,9892.558057529926
2020-02-17,val,9700.000000000002,9901.96365737915
2020-02-18,val,10188.040000000005,9682.963788509369
2020-02-19,val,9600.079999999994,10178.88078029871
2020-02-20,val,9610.049999999994,9606.50247783661
2020-02-21,val,9695.660000000002,9615.778036165237
2020-02-22,val,9668.230000000007,9675.414784040451
2020-02-23,val,9965.010000000004,9661.104980227947
2020-02-24,val,9660.0,9961.78241657138
2020-02-25,val,9304.999999999985,9647.538950443268
2020-02-26,val,8778.300000000008,9285.644274055958
2020-02-27,val,8812.489999999996,8760.541137009859
2020-02-28,val,8708.890000000001,8777.290394036174
2020-02-29,val,8525.069999999994,8688.511034114956
2020-03-01,val,8522.310000000003,8517.337728436589
2020-03-02,val,8914.999999999996,8520.318252530693
2020-03-03,val,8757.84000000001,8908.382250666618
2020-03-04,val,8760.659999999985,8787.873204946518
2020-03-05,val,9070.170000000013,8773.042882311343
2020-03-06,val,9158.509999999998,9066.782989005447
2020-03-07,val,8901.370000000003,9156.484203192593
2020-03-08,val,8037.7599999999975,8894.929495781065
2020-03-09,val,7934.519999999992,8038.673141403198
2020-03-10,val,7894.680000000009,7884.731847245694
2020-03-11,val,7938.050000000005,7868.062796394825
2020-03-12,val,4857.099999999997,7868.397429716587
2020-03-13,val,5637.600000000002,4818.262228631974
2020-03-14,val,5165.249999999999,5612.883187294006
2020-03-15,val,5345.349999999997,5169.148286551237
2020-03-16,val,5037.610000000002,5382.863506394625
2020-03-17,val,5331.709999999999,5091.530379481315
2020-03-18,val,5413.640000000002,5367.165081335306
2020-03-19,val,6186.260000000005,5443.012095742226
2020-03-20,val,6206.099999999996,6219.847600195408
2020-03-21,val,6198.779999999997,6206.824288451672
2020-03-22,val,5818.25,6126.003188105821
2020-03-23,val,6490.6300000000065,5789.107105329633
2020-03-24,val,6766.64,6354.407446675897
2020-03-25,val,6690.959999999991,6695.955193901063
2020-03-26,val,6758.180000000005,6668.679553570747
2020-03-27,val,6372.360000000004,6769.41300835371
2020-03-28,val,6251.820000000001,6368.344898951053
2020-03-29,val,5877.209999999991,6234.6715944135185
2020-03-30,val,6406.400000000001,5833.2003282219175
2020-03-31,val,6424.350000000004,6288.6794765472405
2020-04-01,val,6666.109999999996,6291.587425535918
2020-04-02,val,6804.519999999999,6528.146702349782
2020-04-03,val,6741.990000000007,6699.280653939248
2020-04-04,val,6874.770000000003,6709.590125924348
2020-04-05,val,6778.249999999993,6820.496198762656
2020-04-06,val,7341.559999999998,6751.32966029644
2020-04-07,val,7200.01000000001,7308.679406557084
2020-04-08,val,7370.109999999993,7151.413025842309
2020-04-09,val,7293.240000000003,7371.7380190742015
2020-04-10,val,6871.91,7327.27700026989
2020-04-11,val,6889.649999999992,6870.900341535211
2020-04-12,val,6908.130000000006,6903.597491204739
2020-04-13,val,6861.210000000002,6884.9781597000365
2020-04-14,val,6877.369999999994,6809.474517125487
2020-04-15,val,6624.119999999999,6878.993295855522
2020-04-16,val,7112.64000000001,6598.1920190835
2020-04-17,val,7037.4599999999955,7105.271387958527
2020-04-18,val,7261.76,7077.138061981202
2020-04-19,val,7130.709999999998,7277.809507904053
2020-04-20,val,6838.190000000007,7193.725674796105
2020-04-21,val,6853.680000000001,6877.5817388165
2020-04-22,val,7136.839999999992,6897.583511581422
2020-04-23,val,7488.829999999998,7184.074323019981
2020-04-24,val,7514.639999999997,7472.373265793323
2020-04-25,val,7547.609999999999,7525.844852714539
2020-04-26,val,7706.4000000000015,7582.270885337591
2020-04-27,val,7789.7699999999995,7746.356827354431
2020-04-28,val,7755.010000000002,7919.433154467345
2020-04-29,val,8793.750000000007,7766.266337375641
2020-04-30,val,8624.279999999997,8797.517578303814
2020-05-01,val,8829.420000000002,8635.239485149385
2020-05-02,val,8985.58,8829.257381197214
2020-05-03,val,8909.95,9032.222791690827
2020-05-04,val,8883.530000000008,8998.602250379325
2020-05-05,val,9028.789999999992,8855.46281205237
2020-05-06,val,9155.790000000006,8841.379767887593
2020-05-07,val,10004.769999999995,9092.244931295514
2020-05-08,val,9810.0,9981.286494596005
2020-05-09,val,9537.209999999997,9800.422260761261
2020-05-10,val,8729.860000000011,9560.386196318865
2020-05-11,val,8572.399999999987,8742.629148612023
