date,split,price_true,price_pred
2020-01-31,val,9334.980000000003,10374.256010098457
2020-02-01,val,9380.179999999998,9464.145704677105
2020-02-02,val,9323.5,9220.03017899394
2020-02-03,val,9280.489999999998,9020.405403286219
2020-02-04,val,9164.329999999998,9479.179651674032
2020-02-05,val,9613.819999999998,9000.12853655994
2020-02-06,val,9763.009999999998,9126.414712498188
2020-02-07,val,9808.050000000012,9396.011208860875
2020-02-08,val,9905.639999999996,9730.91191049516
2020-02-09,val,10168.350000000004,10026.706062569618
2020-02-10,val,9851.779999999993,10539.972134006024
2020-02-11,val,10270.009999999993,10098.567523066999
2020-02-12,val,10351.130000000001,10264.394837047457
2020-02-13,val,10236.489999999996,10580.905222352741
2020-02-14,val,10371.330000000013,10157.410060133338
2020-02-15,val,9911.219999999996,10431.3935507977
2020-02-16,val,9920.999999999998,10185.790991492271
2020-02-17,val,9700.000000000002,10045.005877017975
2020-02-18,val,10188.040000000005,9400.948172807693
2020-02-19,val,9600.079999999994,9604.0834211874
2020-02-20,val,9610.049999999994,9175.10125407219
2020-02-21,val,9695.660000000002,9372.566193392871
2020-02-22,val,9668.230000000007,9560.459960513115
2020-02-23,val,9965.010000000004,9506.670580058693
2020-02-24,val,9660.0,9915.066205340625
2020-02-25,val,9304.999999999985,9582.742298841476
2020-02-26,val,8778.300000000008,9721.41848564148
2020-02-27,val,8812.489999999996,8594.116088050603
2020-02-28,val,8708.890000000001,9194.642593110799
2020-02-29,val,8525.069999999994,9013.152699958086
2020-03-01,val,8522.310000000003,8595.096930978298
2020-03-02,val,8914.999999999996,8500.203177795409
2020-03-03,val,8757.84000000001,8971.224831938744
2020-03-04,val,8760.659999999985,8783.0895241642
2020-03-05,val,9070.170000000013,9003.996117424966
2020-03-06,val,9158.509999999998,9117.39677293539
2020-03-07,val,8901.370000000003,9259.474490088225
2020-03-08,val,8037.7599999999975,9033.333750832082
2020-03-09,val,7934.519999999992,8153.091771392823
2020-03-10,val,7894.680000000009,7786.3364585495
2020-03-11,val,7938.050000000005,7805.4473130583765
2020-03-12,val,4857.099999999997,7767.57834816277
2020-03-13,val,5637.600000000002,4884.828857874871
2020-03-14,val,5165.249999999999,5822.345036315918
2020-03-15,val,5345.349999999997,5524.418825358152
2020-03-16,val,5037.610000000002,5938.3846850275995
2020-03-17,val,5331.709999999999,5527.947475047111
2020-03-18,val,5413.640000000002,5587.066288520098
2020-03-19,val,6186.260000000005,5555.52155579567
2020-03-20,val,6206.099999999996,6210.4390898585325
2020-03-21,val,6198.779999999997,6355.221300494672
2020-03-22,val,5818.25,6376.312517459392
2020-03-23,val,6490.6300000000065,6036.892976343632
2020-03-24,val,6766.64,6562.340537481308
2020-03-25,val,6690.959999999991,6647.248274173737
2020-03-26,val,6758.180000000005,6619.496027412414
2020-03-27,val,6372.360000000004,6817.167996747494
2020-03-28,val,6251.820000000001,6466.096334109306
2020-03-29,val,5877.209999999991,6535.666189620494
2020-03-30,val,6406.400000000001,6164.876055761576
2020-03-31,val,6424.350000000004,6515.875974273681
2020-04-01,val,6666.109999999996,6212.8680375516415
2020-04-02,val,6804.519999999999,7085.156853538751
2020-04-03,val,6741.990000000007,7191.542422184944
2020-04-04,val,6874.770000000003,7076.511687480211
2020-04-05,val,6778.249999999993,7308.375260875226
2020-04-06,val,7341.559999999998,7167.507316827774
2020-04-07,val,7200.01000000001,7303.3197910594945
2020-04-08,val,7370.109999999993,7388.861809535027
2020-04-09,val,7293.240000000003,8124.238658514022
2020-04-10,val,6871.91,7903.656810250282
2020-04-11,val,6889.649999999992,7653.445453019142
2020-04-12,val,6908.130000000006,7781.123997813463
2020-04-13,val,6861.210000000002,7486.9165370965
2020-04-14,val,6877.369999999994,7034.023402848244
2020-04-15,val,6624.119999999999,8179.700912258625
2020-04-16,val,7112.64000000001,6730.297231693267
2020-04-17,val,7037.4599999999955,7357.657266998292
2020-04-18,val,7261.76,7078.596962306499
2020-04-19,val,7130.709999999998,7768.858658905029
2020-04-20,val,6838.190000000007,7245.5445321798325
2020-04-21,val,6853.680000000001,7187.8694293856615
